Name,Number_of_Employees,Wilaya,City
El-Mesk Palace Kitchen,26,40,2543
El-Boustane Palace Kitchen,64,42,3127
El-Djenina Flavors Shack,40,51,3454
El-Boustane Cuisine Haven,97,6,3155
El-Magharibi Cuisine Haven,39,26,3040
El-Mesk Grill House,76,36,2065
El-Rahma Flavors Shack,25,58,3829
El-Boustane Grill House,89,19,2000
El-Mesk Taste Oasis,23,3,4487
El-Magharibi Cuisine Haven,27,1,2953
Lalla Cuisine Haven,52,50,5803
El-Djenina Grill House,95,4,2540
El-Magharibi Cuisine Haven,75,8,2004
Lalla Cuisine Haven,36,35,783
El-Rahma Taste Oasis,83,9,3861
El-Djenina Flavors Shack,91,32,2263
El-Magharibi Flavors Shack,40,21,2962
El-Djenina Grill House,55,28,1785
El-Mesk Taste Oasis,21,8,1986
El-Mesk Flavors Shack,91,12,4812
El-Rahma Cuisine Haven,41,35,2763
El-Boustane Flavors Shack,76,53,4658
Lalla Grill House,45,18,4660
El-baraka Cuisine Haven,73,11,626
Lalla Cuisine Haven,84,31,4580
Lalla Grill House,45,13,3672
El-baraka Cuisine Haven,100,13,1412
Lalla Taste Oasis,88,5,982
El-Boustane Grill House,37,51,491
Lalla Cuisine Haven,46,13,1747
Lalla Taste Oasis,23,6,5107
El-baraka Flavors Shack,32,7,5666
El-Magharibi Flavors Shack,58,9,2559
El-Boustane Grill House,74,31,5610
El-baraka Grill House,33,48,4149
El-Magharibi Taste Oasis,51,50,1562
El-Boustane Grill House,96,40,1664
El-Rahma Flavors Shack,25,34,2063
El-Boustane Taste Oasis,95,19,2083
El-Rahma Palace Kitchen,46,29,1611
Lalla Taste Oasis,95,58,4298
El-Rahma Taste Oasis,70,23,3356
El-Djenina Taste Oasis,78,17,4393
El-baraka Palace Kitchen,73,17,3162
El-Boustane Cuisine Haven,90,19,689
El-baraka Cuisine Haven,90,37,2953
El-Djenina Taste Oasis,21,3,3998
El-Djenina Taste Oasis,37,10,671
Lalla Flavors Shack,62,11,2607
El-Magharibi Grill House,20,46,5607
El-Mesk Taste Oasis,70,41,166
El-baraka Flavors Shack,24,17,1215
El-baraka Flavors Shack,98,5,2012
El-Boustane Taste Oasis,69,19,1898
El-Magharibi Palace Kitchen,70,47,182
El-Djenina Flavors Shack,26,57,414
Lalla Taste Oasis,61,48,5733
El-Rahma Cuisine Haven,36,26,1172
Lalla Flavors Shack,55,44,3303
El-Boustane Flavors Shack,75,18,2541
Lalla Palace Kitchen,52,9,121
El-Rahma Flavors Shack,30,28,4332
El-Mesk Taste Oasis,83,57,558
El-Boustane Grill House,97,31,2455
El-Mesk Cuisine Haven,100,24,489
Lalla Cuisine Haven,71,23,225
El-Djenina Cuisine Haven,71,8,1620
Lalla Grill House,90,8,4417
El-Rahma Grill House,30,28,4109
El-baraka Taste Oasis,100,32,577
El-Djenina Grill House,72,14,2493
Lalla Cuisine Haven,26,37,2644
El-Djenina Taste Oasis,53,48,2697
Lalla Taste Oasis,71,58,4856
El-baraka Taste Oasis,89,27,982
El-Boustane Palace Kitchen,100,16,3853
El-Djenina Grill House,91,4,2917
El-Magharibi Taste Oasis,70,38,3141
El-Mesk Grill House,93,2,337
El-Djenina Taste Oasis,57,17,4796
Lalla Flavors Shack,23,58,548
El-Mesk Palace Kitchen,48,43,3530
El-Mesk Flavors Shack,40,58,4541
El-Magharibi Cuisine Haven,44,21,5411
El-Magharibi Taste Oasis,52,43,1412
El-Mesk Grill House,41,28,556
El-Djenina Flavors Shack,55,23,453
El-Djenina Taste Oasis,22,35,1126
El-Rahma Palace Kitchen,95,4,5279
El-Boustane Palace Kitchen,24,31,2225
El-Magharibi Taste Oasis,31,52,3200
El-Djenina Grill House,85,41,902
El-Magharibi Grill House,33,46,2715
El-Rahma Taste Oasis,57,29,4726
El-Magharibi Flavors Shack,92,47,3782
Lalla Flavors Shack,69,50,2308
El-Djenina Grill House,40,14,874
Lalla Flavors Shack,58,40,5051
El-Magharibi Cuisine Haven,90,6,2481
Lalla Flavors Shack,80,45,1874
El-Djenina Grill House,69,14,2672
El-Mesk Taste Oasis,58,17,1285
El-Boustane Grill House,58,58,5360
El-Mesk Flavors Shack,21,35,5550
El-baraka Flavors Shack,83,20,3859
El-Mesk Taste Oasis,84,31,5261
El-baraka Flavors Shack,96,51,1367
El-Rahma Cuisine Haven,36,57,5288
El-Djenina Grill House,67,26,1475
El-Djenina Cuisine Haven,80,51,329
El-Boustane Grill House,53,12,5437
Lalla Flavors Shack,99,6,1014
El-Djenina Flavors Shack,93,57,3975
El-baraka Taste Oasis,22,39,168
El-baraka Taste Oasis,38,52,4591
El-Boustane Taste Oasis,85,45,3089
Lalla Palace Kitchen,36,42,3178
Lalla Grill House,43,18,4039
El-Magharibi Grill House,30,11,906
El-baraka Cuisine Haven,85,43,2131
El-Mesk Cuisine Haven,72,58,141
El-baraka Cuisine Haven,78,38,1078
El-Magharibi Cuisine Haven,66,9,3748
El-baraka Taste Oasis,57,14,2920
El-Rahma Taste Oasis,43,13,2002
El-Mesk Palace Kitchen,68,16,3212
El-Boustane Flavors Shack,87,52,1272
El-Boustane Palace Kitchen,68,30,1158
Lalla Flavors Shack,87,18,1154
Lalla Cuisine Haven,30,39,684
El-baraka Grill House,33,8,369
El-Boustane Taste Oasis,24,39,3859
El-Djenina Grill House,67,45,5413
El-Rahma Flavors Shack,51,56,4727
El-Rahma Grill House,63,27,2911
El-Magharibi Flavors Shack,87,49,1210
El-Mesk Grill House,49,21,3195
El-Djenina Grill House,36,35,999
El-baraka Taste Oasis,47,5,963
Lalla Flavors Shack,22,30,4953
Lalla Flavors Shack,31,2,1584
El-Boustane Palace Kitchen,82,53,5171
El-Boustane Grill House,66,9,5091
El-Boustane Palace Kitchen,53,16,2963
El-baraka Flavors Shack,42,13,1319
El-baraka Taste Oasis,53,38,418
El-Rahma Cuisine Haven,57,25,3107
El-Djenina Flavors Shack,52,50,3970
El-baraka Cuisine Haven,27,31,1591
El-Djenina Taste Oasis,32,2,5205
El-Djenina Palace Kitchen,35,54,5376
El-Magharibi Taste Oasis,77,31,2109
El-Rahma Flavors Shack,83,26,1434
El-baraka Flavors Shack,34,39,410
El-Boustane Cuisine Haven,55,13,5350
El-Mesk Grill House,25,56,3378
El-Mesk Flavors Shack,95,8,4142
El-Magharibi Taste Oasis,88,54,3596
El-Boustane Palace Kitchen,61,16,3478
